history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,tree_beam_1,8,0.006458,0.015749,0,0,71,16,16,1,0.009291
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,tree_beam_2,12,0.006333,0.010208,0,0,71,32,32,2,0.003875
n256_seed17_history0,17,0,256,random_keys,12,n256_seed17_history0_q12,230,9f339590f2f96b14edfd209d7fa68a327b4f71e26ed47116f281f417e5f30bdc,tree_beam_4,20,0.006333,0.011583,0,0,172,64,64,4,0.00525
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,raw_full_scan,0,0.00025,0.008333,1,1,66,256,256,16,0.008083
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,flat_1,16,0.001708,0.0055,1,1,66,16,16,1,0.003792
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,flat_2,16,0.001458,0.0055,1,1,66,32,32,2,0.004042
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,flat_4,16,0.001375,0.006709,1,1,66,64,64,4,0.005334
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,tree_beam_1,8,0.006583,0.010333,1,1,66,16,16,1,0.00375
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,tree_beam_2,12,0.006125,0.009959,1,1,66,32,32,2,0.003834
n256_seed17_history0,17,0,256,random_keys,13,n256_seed17_history0_q13,66,035a506a39c824147cd41af43639d31ebc33b775249e77f8d8403efef54e1883,tree_beam_4,20,0.006375,0.022459,1,1,66,64,64,4,0.016084
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,raw_full_scan,0,0.000292,0.008084000000000001,1,1,175,256,256,16,0.007792
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,flat_1,16,0.001709,0.005501,0,0,220,16,16,1,0.003792
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,flat_2,16,0.001417,0.005375,0,0,220,32,32,2,0.003958
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,flat_4,16,0.001375,0.006666999999999999,0,0,220,64,64,4,0.005292
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,tree_beam_1,8,0.006417,0.010166999999999999,1,1,175,16,16,1,0.00375
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,tree_beam_2,12,0.006125,0.01,0,0,81,32,32,2,0.003875
n256_seed17_history0,17,0,256,random_keys,14,n256_seed17_history0_q14,175,7ee91a6d501ca13311de175654fa176a8b91290ae241fcace0594dd3de09aff5,tree_beam_4,20,0.006833,0.012083,0,0,220,64,64,4,0.00525
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,raw_full_scan,0,0.000208,0.008083,1,1,103,256,256,16,0.007875
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,flat_1,16,0.001791,0.005625,0,0,84,16,16,1,0.003834
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,flat_2,16,0.0015,0.0055,0,0,84,32,32,2,0.004
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,flat_4,16,0.001416,0.006666,1,1,103,64,64,4,0.00525
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,tree_beam_1,8,0.006583,0.010249000000000001,0,0,84,16,16,1,0.003666
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,tree_beam_2,12,0.006083,0.009916,0,0,84,32,32,2,0.003833
n256_seed17_history0,17,0,256,random_keys,15,n256_seed17_history0_q15,103,93d39573f38f2ead9210b14ba67cd85ca710fed5641274efa85946a1d3556070,tree_beam_4,20,0.006458,0.011666,1,1,103,64,64,4,0.005208
